type,key,pref,trivia
station,和歌山,和歌山県,ねこ駅長で話題の和歌山電鐵も発着する県の中心駅。
station,姫路,兵庫県,世界遺産・姫路城の最寄り駅。山陽新幹線が停車する。
station,横須賀,神奈川県,米海軍基地のある軍港都市の駅。海軍カレーで知られる。
station,鎌倉,神奈川県,鎌倉大仏や鶴岡八幡宮で有名な古都。江ノ電が発着する。
station,小田原,神奈川県,箱根観光の玄関口。小田原城で知られる。
station,藤沢,神奈川県,江の島観光の拠点。江ノ電が発着する。
station,町田,東京都,東京都南端の商業都市の駅。神奈川県に深く食い込む立地で知られる。
station,立川,東京都,多摩地域の中心都市の駅。多摩モノレールとの結節点。
station,吉祥寺,東京都,「住みたい街」で人気の街。井の頭公園が近い。
station,北千住,東京都,JR・東武・地下鉄・つくばEXが集まる足立区の巨大ターミナル。
station,日暮里,東京都,成田スカイアクセスで成田空港と直結。谷中など下町に近い。
